records[0].View: false,true
records[43].Create: false
records[43].Delete: false
records[43].Print: false
records[43].Edit: false
records[43].All: false
records[44].View: false
records[44].Create: false
records[44].Delete: false
records[44].Print: false
records[44].Edit: false
records[44].All: false
records[45].View: false
records[45].Create: false
records[45].Delete: false
records[45].Print: false
records[45].Edit: false
records[45].All: false
records[46].View: false
records[46].Create: false
records[46].Delete: false
records[46].Print: false
records[46].Edit: false
records[46].All: false
records[47].View: false
records[47].Create: false
records[47].Delete: false
records[47].Print: false
records[47].Edit: false
records[47].All: false
records[48].View: false
records[48].Create: false
records[48].Delete: false
records[48].Print: false
records[48].Edit: false
records[48].All: false
records[49].View: false
records[49].Create: false
records[49].Delete: false
records[49].Print: false
records[49].Edit: false
records[49].All: false
records[50].View: false
records[50].Create: false
records[50].Delete: false
records[50].Print: false
records[50].Edit: false
records[50].All: false
records[51].View: false
records[51].Create: false
records[51].Delete: false
records[51].Print: false
records[51].Edit: false
records[51].All: false
records[52].View: false
records[52].Create: false
records[52].Delete: false
records[52].Print: false
records[52].Edit: false
records[52].All: false
records[53].View: false
records[53].Create: false
records[53].Delete: false
records[53].Print: false
records[53].Edit: false
records[53].All: false
records[54].View: false
records[54].Create: false
records[54].Delete: false
records[54].Print: false
records[54].Edit: false
records[54].All: false
records[55].View: false
records[55].Create: false
records[55].Delete: false
records[55].Print: false
records[55].Edit: false
records[55].All: false
records[56].View: false
records[56].Create: false
records[56].Delete: false
records[56].Print: false
records[56].Edit: false
records[56].All: false
records[57].View: false
records[57].Create: false
records[57].Delete: false
records[57].Print: false
records[57].Edit: false
records[57].All: false
records[58].View: false
records[58].Create: false
records[58].Delete: false
records[58].Print: false
records[58].Edit: false
records[58].All: false
records[59].View: false
records[59].Create: false
records[59].Delete: false
records[59].Print: false
records[59].Edit: false
records[59].All: false
records[60].View: false
records[60].Create: false
records[60].Delete: false
records[60].Print: false
records[60].Edit: false
records[60].All: false
records[61].View: false
records[61].Create: false
records[61].Delete: false
records[61].Print: false
records[61].Edit: false
records[61].All: false
records[62].View: false
records[62].Create: false
records[62].Delete: false
records[62].Print: false
records[62].Edit: false
records[62].All: false
records[63].View: false
records[63].Create: false
records[63].Delete: false
records[63].Print: false
records[63].Edit: false
records[63].All: false
records[64].View: false
records[64].Create: false
records[64].Delete: false
records[64].Print: false
records[64].Edit: false
records[64].All: false
records[65].View: false
records[65].Create: false
records[65].Delete: false
records[65].Print: false
records[65].Edit: false
records[65].All: false
records[66].View: false
records[66].Create: false
records[66].Delete: false
records[66].Print: false
records[66].Edit: false
records[66].All: false
records[67].View: false
records[67].Create: false
records[67].Delete: false
records[67].Print: false
records[67].Edit: false
records[67].All: false
records[68].View: false
records[68].Create: false
records[68].Delete: false
records[68].Print: false
records[68].Edit: false
records[68].All: false
records[69].View: false
records[69].Create: false
records[69].Delete: false
records[69].Print: false
records[69].Edit: false
records[69].All: false
records[70].View: false
records[70].Create: false
records[70].Delete: false
records[70].Print: false
records[70].Edit: false
records[70].All: false
records[71].View: false
records[71].Create: false
records[71].Delete: false
records[71].Print: false
records[71].Edit: false
records[71].All: false
records[72].View: false
records[72].Create: false
records[72].Delete: false
records[72].Print: false
records[72].Edit: false
records[72].All: false
records[73].View: false
records[73].Create: false
records[73].Delete: false
records[73].Print: false
records[73].Edit: false
records[73].All: false
records[74].View: false
records[74].Create: false
records[74].Delete: false
records[74].Print: false
records[74].Edit: false
records[74].All: false
records[75].View: false
records[75].Create: false
records[75].Delete: false
records[75].Print: false
records[75].Edit: false
records[75].All: false
records[76].View: false
records[76].Create: false
records[76].Delete: false
records[76].Print: false
records[76].Edit: false
records[76].All: false
records[77].View: false
records[77].Create: false
records[77].Delete: false
records[77].Print: false
records[77].Edit: false
records[77].All: false
records[78].View: false
records[78].Create: false
records[78].Delete: false
records[78].Print: false
records[78].Edit: false
records[78].All: false
records[79].View: false
records[79].Create: false
records[79].Delete: false
records[79].Print: false
records[79].Edit: false
records[79].All: false
records[80].View: false
records[80].Create: false
records[80].Delete: false
records[80].Print: false
records[80].Edit: false
records[80].All: false
records[81].View: false
records[81].Create: false
records[81].Delete: false
records[81].Print: false
records[81].Edit: false
records[81].All: false
records[82].View: false
records[82].Create: false
records[82].Delete: false
records[82].Print: false
records[82].Edit: false
records[82].All: false
records[83].View: false
records[83].Create: false
records[83].Delete: false
records[83].Print: false
records[83].Edit: false
records[83].All: false
records[84].View: false
records[84].Create: false
records[84].Delete: false
records[84].Print: false
records[84].Edit: false
records[84].All: false
records[85].View: false
records[85].Create: false
records[85].Delete: false
records[85].Print: false
records[85].Edit: false
records[85].All: false
records[86].View: false
records[86].Create: false
records[86].Delete: false
records[86].Print: false
records[86].Edit: false
records[86].All: false
records[87].View: false
records[87].Create: false
records[87].Delete: false
records[87].Print: false
records[87].Edit: false
records[87].All: false
records[88].View: false
records[88].Create: false
records[88].Delete: false
records[88].Print: false
records[88].Edit: false
records[88].All: false
records[89].View: false
records[89].Create: false
records[89].Delete: false
records[89].Print: false
records[89].Edit: false
records[89].All: false
records[90].View: false
records[90].Create: false
records[90].Delete: false
records[90].Print: false
records[90].Edit: false
records[90].All: false
records[91].View: false
records[91].Create: false
records[91].Delete: false
records[91].Print: false
records[91].Edit: false
records[91].All: false
records[92].View: false
records[92].Create: false
records[92].Delete: false
records[92].Print: false
records[92].Edit: false
records[92].All: false
records[93].View: false
records[93].Create: false
records[93].Delete: false
records[93].Print: false
records[93].Edit: false
records[93].All: false
records[94].View: false
records[94].Create: false
records[94].Delete: false
records[94].Print: false
records[94].Edit: false
records[94].All: false
records[95].View: false
records[95].Create: false
records[95].Delete: false
records[95].Print: false
records[95].Edit: false
records[95].All: false
records[96].View: false
records[96].Create: false
records[96].Delete: false
records[96].Print: false
records[96].Edit: false
records[96].All: false
records[97].View: false
records[97].Create: false
records[97].Delete: false
records[97].Print: false
records[97].Edit: false
records[97].All: false
records[98].View: false
records[98].Create: false
records[98].Delete: false
records[98].Print: false
records[98].Edit: false
records[98].All: false
records[99].View: false
records[99].Create: false
records[99].Delete: false
records[99].Print: false
records[99].Edit: false
records[99].All: false

records[0].View: false,true
records[0].Create: false
records[0].Delete: false
records[0].Print: false
records[0].Edit: false
records[0].All: false
records[1].View: false,true
records[1].Create: false
records[1].Delete: false
records[1].Print: false
records[1].Edit: false
records[1].All: false
records[2].View: false
records[2].Create: false
records[2].Delete: false
records[2].Print: false
records[2].Edit: false
records[2].All: false
records[3].View: false
records[3].Create: false
records[3].Delete: false
records[3].Print: false
records[3].Edit: false
records[3].All: false
records[4].View: false
records[4].Create: false
records[4].Delete: false
records[4].Print: false
records[4].Edit: false
records[4].All: false
records[5].View: false
records[5].Create: false
records[5].Delete: false
records[5].Print: false
records[5].Edit: false
records[5].All: false
records[6].View: false
records[6].Create: false
records[6].Delete: false
records[6].Print: false
records[6].Edit: false
records[6].All: false
records[7].View: false
records[7].Create: false
records[7].Delete: false
records[7].Print: false
records[7].Edit: false
records[7].All: false
records[8].View: false
records[8].Create: false
records[8].Delete: false
records[8].Print: false
records[8].Edit: false
records[8].All: false
records[9].View: false
records[9].Create: false
records[9].Delete: false
records[9].Print: false
records[9].Edit: false
records[9].All: false
records[10].View: false
records[10].Create: false
records[10].Delete: false
records[10].Print: false
records[10].Edit: false
records[10].All: false
records[11].View: false
records[11].Create: false
records[11].Delete: false
records[11].Print: false
records[11].Edit: false
records[11].All: false
records[12].View: false
records[12].Create: false
records[12].Delete: false
records[12].Print: false
records[12].Edit: false
records[12].All: false
records[13].View: false
records[13].Create: false
records[13].Delete: false
records[13].Print: false
records[13].Edit: false
records[13].All: false
records[14].View: false
records[14].Create: false
records[14].Delete: false
records[14].Print: false
records[14].Edit: false
records[14].All: false
records[15].View: false
records[15].Create: false
records[15].Delete: false
records[15].Print: false
records[15].Edit: false
records[15].All: false
records[16].View: false
records[16].Create: false
records[16].Delete: false
records[16].Print: false
records[16].Edit: false
records[16].All: false
records[17].View: false
records[17].Create: false
records[17].Delete: false
records[17].Print: false
records[17].Edit: false
records[17].All: false
records[18].View: false
records[18].Create: false
records[18].Delete: false
records[18].Print: false
records[18].Edit: false
records[18].All: false
records[19].View: false
records[19].Create: false
records[19].Delete: false
records[19].Print: false
records[19].Edit: false
records[19].All: false
records[20].View: false
records[20].Create: false
records[20].Delete: false
records[20].Print: false
records[20].Edit: false
records[20].All: false
records[21].View: false
records[21].Create: false
records[21].Delete: false
records[21].Print: false
records[21].Edit: false
records[21].All: false
records[22].View: false
records[22].Create: false
records[22].Delete: false
records[22].Print: false
records[22].Edit: false
records[22].All: false
records[23].View: false
records[23].Create: false
records[23].Delete: false
records[23].Print: false
records[23].Edit: false
records[23].All: false
records[24].View: false
records[24].Create: false
records[24].Delete: false
records[24].Print: false
records[24].Edit: false
records[24].All: false
records[25].View: false
records[25].Create: false
records[25].Delete: false
records[25].Print: false
records[25].Edit: false
records[25].All: false
records[26].View: false
records[26].Create: false
records[26].Delete: false
records[26].Print: false
records[26].Edit: false
records[26].All: false
records[27].View: false
records[27].Create: false
records[27].Delete: false
records[27].Print: false
records[27].Edit: false
records[27].All: false
records[28].View: false
records[28].Create: false
records[28].Delete: false
records[28].Print: false
records[28].Edit: false
records[28].All: false
records[29].View: false
records[29].Create: false
records[29].Delete: false
records[29].Print: false
records[29].Edit: false
records[29].All: false
records[30].View: false
records[30].Create: false
records[30].Delete: false
records[30].Print: false
records[30].Edit: false
records[30].All: false
records[31].View: false
records[31].Create: false
records[31].Delete: false
records[31].Print: false
records[31].Edit: false
records[31].All: false
records[32].View: false
records[32].Create: false
records[32].Delete: false
records[32].Print: false
records[32].Edit: false
records[32].All: false
records[33].View: false
records[33].Create: false
records[33].Delete: false
records[33].Print: false
records[33].Edit: false
records[33].All: false
records[34].View: false
records[34].Create: false
records[34].Delete: false
records[34].Print: false
records[34].Edit: false
records[34].All: false
records[35].View: false
records[35].Create: false
records[35].Delete: false
records[35].Print: false
records[35].Edit: false
records[35].All: false
records[36].View: false
records[36].Create: false
records[36].Delete: false
records[36].Print: false
records[36].Edit: false
records[36].All: false
records[37].View: false
records[37].Create: false
records[37].Delete: false
records[37].Print: false
records[37].Edit: false
records[37].All: false
records[38].View: false
records[38].Create: false
records[38].Delete: false
records[38].Print: false
records[38].Edit: false
records[38].All: false
records[39].View: false
records[39].Create: false
records[39].Delete: false
records[39].Print: false
records[39].Edit: false
records[39].All: false
records[40].View: false
records[40].Create: false
records[40].Delete: false
records[40].Print: false
records[40].Edit: false
records[40].All: false
records[41].View: false
records[41].Create: false
records[41].Delete: false
records[41].Print: false
records[41].Edit: false
records[41].All: false
records[42].View: false
records[42].Create: false
records[42].Delete: false
records[42].Print: false
records[42].Edit: false
records[42].All: false
records[43].View: false
records[43].Create: false
records[43].Delete: false
records[43].Print: false
records[43].Edit: false
records[43].All: false
records[44].View: false
records[44].Create: false
records[44].Delete: false
records[44].Print: false
records[44].Edit: false
records[44].All: false
records[45].View: false
records[45].Create: false
records[45].Delete: false
records[45].Print: false
records[45].Edit: false
records[45].All: false
records[46].View: false
records[46].Create: false
records[46].Delete: false
records[46].Print: false
records[46].Edit: false
records[46].All: false
records[47].View: false
records[47].Create: false
records[47].Delete: false
records[47].Print: false
records[47].Edit: false
records[47].All: false
records[48].View: false
records[48].Create: false
records[48].Delete: false
records[48].Print: false
records[48].Edit: false
records[48].All: false
records[49].View: false
records[49].Create: false
records[49].Delete: false
records[49].Print: false
records[49].Edit: false
records[49].All: false
records[50].View: false
records[50].Create: false
records[50].Delete: false
records[50].Print: false
records[50].Edit: false
records[50].All: false
records[51].View: false
records[51].Create: false
records[51].Delete: false
records[51].Print: false
records[51].Edit: false
records[51].All: false
records[52].View: false
records[52].Create: false
records[52].Delete: false
records[52].Print: false
records[52].Edit: false
records[52].All: false
records[53].View: false
records[53].Create: false
records[53].Delete: false
records[53].Print: false
records[53].Edit: false
records[53].All: false
records[54].View: false
records[54].Create: false
records[54].Delete: false
records[54].Print: false
records[54].Edit: false
records[54].All: false
records[55].View: false
records[55].Create: false
records[55].Delete: false
records[55].Print: false
records[55].Edit: false
records[55].All: false
records[56].View: false
records[56].Create: false
records[56].Delete: false
records[56].Print: false
records[56].Edit: false
records[56].All: false
records[57].View: false
records[57].Create: false
records[57].Delete: false
records[57].Print: false
records[57].Edit: false
records[57].All: false
records[58].View: false
records[58].Create: false
records[58].Delete: false
records[58].Print: false
records[58].Edit: false
records[58].All: false
records[59].View: false
records[59].Create: false
records[59].Delete: false
records[59].Print: false
records[59].Edit: false
records[59].All: false
records[60].View: false
records[60].Create: false
records[60].Delete: false
records[60].Print: false
records[60].Edit: false
records[60].All: false
records[61].View: false
records[61].Create: false
records[61].Delete: false
records[61].Print: false
records[61].Edit: false
records[61].All: false
records[62].View: false
records[62].Create: false
records[62].Delete: false
records[62].Print: false
records[62].Edit: false
records[62].All: false
records[63].View: false
records[63].Create: false
records[63].Delete: false
records[63].Print: false
records[63].Edit: false
records[63].All: false
records[64].View: false
records[64].Create: false
records[64].Delete: false
records[64].Print: false
records[64].Edit: false
records[64].All: false
records[65].View: false
records[65].Create: false
records[65].Delete: false
records[65].Print: false
records[65].Edit: false
records[65].All: false
records[66].View: false
records[66].Create: false
records[66].Delete: false
records[66].Print: false
records[66].Edit: false
records[66].All: false
records[67].View: false
records[67].Create: false
records[67].Delete: false
records[67].Print: false
records[67].Edit: false
records[67].All: false
records[68].View: false
records[68].Create: false
records[68].Delete: false
records[68].Print: false
records[68].Edit: false
records[68].All: false
records[69].View: false
records[69].Create: false
records[69].Delete: false
records[69].Print: false
records[69].Edit: false
records[69].All: false
records[70].View: false
records[70].Create: false
records[70].Delete: false
records[70].Print: false
records[70].Edit: false
records[70].All: false
records[71].View: false
records[71].Create: false
records[71].Delete: false
records[71].Print: false
records[71].Edit: false
records[71].All: false
records[72].View: false
records[72].Create: false
records[72].Delete: false
records[72].Print: false
records[72].Edit: false
records[72].All: false
records[73].View: false
records[73].Create: false
records[73].Delete: false
records[73].Print: false
records[73].Edit: false
records[73].All: false
records[74].View: false
records[74].Create: false
records[74].Delete: false
records[74].Print: false
records[74].Edit: false
records[74].All: false
records[75].View: false
records[75].Create: false
records[75].Delete: false
records[75].Print: false
records[75].Edit: false
records[75].All: false
records[76].View: false
records[76].Create: false
records[76].Delete: false
records[76].Print: false
records[76].Edit: false
records[76].All: false
records[77].View: false
records[77].Create: false
records[77].Delete: false
records[77].Print: false
records[77].Edit: false
records[77].All: false
records[78].View: false
records[78].Create: false
records[78].Delete: false
records[78].Print: false
records[78].Edit: false
records[78].All: false
records[79].View: false
records[79].Create: false
records[79].Delete: false
records[79].Print: false
records[79].Edit: false
records[79].All: false
records[80].View: false
records[80].Create: false
records[80].Delete: false
records[80].Print: false
records[80].Edit: false
records[80].All: false
records[81].View: false
records[81].Create: false
records[81].Delete: false
records[81].Print: false
records[81].Edit: false
records[81].All: false
records[82].View: false
records[82].Create: false
records[82].Delete: false
records[82].Print: false
records[82].Edit: false
records[82].All: false
records[83].View: false
records[83].Create: false
records[83].Delete: false
records[83].Print: false
records[83].Edit: false
records[83].All: false
records[84].View: false
records[84].Create: false
records[84].Delete: false
records[84].Print: false
records[84].Edit: false
records[84].All: false
records[85].View: false
records[85].Create: false
records[85].Delete: false
records[85].Print: false
records[85].Edit: false
records[85].All: false
records[86].View: false
records[86].Create: false
records[86].Delete: false
records[86].Print: false
records[86].Edit: false
records[86].All: false
records[87].View: false
records[87].Create: false
records[87].Delete: false
records[87].Print: false
records[87].Edit: false
records[87].All: false
records[88].View: false
records[88].Create: false
records[88].Delete: false
records[88].Print: false
records[88].Edit: false
records[88].All: false
records[89].View: false
records[89].Create: false
records[89].Delete: false
records[89].Print: false
records[89].Edit: false
records[89].All: false
records[90].View: false
records[90].Create: false
records[90].Delete: false
records[90].Print: false
records[90].Edit: false
records[90].All: false
records[91].View: false
records[91].Create: false
records[91].Delete: false
records[91].Print: false
records[91].Edit: false
records[91].All: false
records[92].View: false
records[92].Create: false
records[92].Delete: false
records[92].Print: false
records[92].Edit: false
records[92].All: false
records[93].View: false
records[93].Create: false
records[93].Delete: false
records[93].Print: false
records[93].Edit: false
records[93].All: false
records[94].View: false
records[94].Create: false
records[94].Delete: false
records[94].Print: false
records[94].Edit: false
records[94].All: false
records[95].View: false
records[95].Create: false
records[95].Delete: false
records[95].Print: false
records[95].Edit: false
records[95].All: false
records[96].View: false
records[96].Create: false
records[96].Delete: false
records[96].Print: false
records[96].Edit: false
records[96].All: false
records[97].View: false
records[97].Create: false
records[97].Delete: false
records[97].Print: false
records[97].Edit: false
records[97].All: false
records[98].View: false
records[98].Create: false
records[98].Delete: false
records[98].Print: false
records[98].Edit: false
records[98].All: false
records[99].View: false
records[99].Create: false
records[99].Delete: false
records[99].Print: false
records[99].Edit: false
records[99].All: false

records[0].View: false,true
records[0].Create: false
records[0].Delete: false,true
records[0].Print: false
records[0].Edit: false
records[0].All: false
records[1].View: false
records[1].Create: false
records[1].Delete: false
records[1].Print: false
records[1].Edit: false
records[1].All: false
records[2].View: false
records[2].Create: false
records[2].Delete: false
records[2].Print: false
records[2].Edit: false
records[2].All: false
records[3].View: false
records[3].Create: false
records[3].Delete: false
records[3].Print: false
records[3].Edit: false
records[3].All: false
records[4].View: false
records[4].Create: false
records[4].Delete: false
records[4].Print: false
records[4].Edit: false
records[4].All: false
records[5].View: false
records[5].Create: false
records[5].Delete: false
records[5].Print: false
records[5].Edit: false
records[5].All: false
records[6].View: false
records[6].Create: false
records[6].Delete: false
records[6].Print: false
records[6].Edit: false
records[6].All: false
records[7].View: false
records[7].Create: false
records[7].Delete: false
records[7].Print: false
records[7].Edit: false
records[7].All: false
records[8].View: false
records[8].Create: false
records[8].Delete: false
records[8].Print: false
records[8].Edit: false
records[8].All: false
records[9].View: false
records[9].Create: false
records[9].Delete: false
records[9].Print: false
records[9].Edit: false
records[9].All: false
records[10].View: false
records[10].Create: false
records[10].Delete: false
records[10].Print: false
records[10].Edit: false
records[10].All: false
records[11].View: false
records[11].Create: false
records[11].Delete: false
records[11].Print: false
records[11].Edit: false
records[11].All: false
records[12].View: false
records[12].Create: false
records[12].Delete: false
records[12].Print: false
records[12].Edit: false
records[12].All: false
records[13].View: false
records[13].Create: false
records[13].Delete: false
records[13].Print: false
records[13].Edit: false
records[13].All: false
records[14].View: false
records[14].Create: false
records[14].Delete: false
records[14].Print: false
records[14].Edit: false
records[14].All: false
records[15].View: false
records[15].Create: false
records[15].Delete: false
records[15].Print: false
records[15].Edit: false
records[15].All: false
records[16].View: false
records[16].Create: false
records[16].Delete: false
records[16].Print: false
records[16].Edit: false
records[16].All: false
records[17].View: false
records[17].Create: false
records[17].Delete: false
records[17].Print: false
records[17].Edit: false
records[17].All: false
records[18].View: false
records[18].Create: false
records[18].Delete: false
records[18].Print: false
records[18].Edit: false
records[18].All: false
records[19].View: false
records[19].Create: false
records[19].Delete: false
records[19].Print: false
records[19].Edit: false
records[19].All: false
records[20].View: false
records[20].Create: false
records[20].Delete: false
records[20].Print: false
records[20].Edit: false
records[20].All: false
records[21].View: false
records[21].Create: false
records[21].Delete: false
records[21].Print: false
records[21].Edit: false
records[21].All: false
records[22].View: false
records[22].Create: false
records[22].Delete: false
records[22].Print: false
records[22].Edit: false
records[22].All: false
records[23].View: false
records[23].Create: false
records[23].Delete: false
records[23].Print: false
records[23].Edit: false
records[23].All: false
records[24].View: false
records[24].Create: false
records[24].Delete: false
records[24].Print: false
records[24].Edit: false
records[24].All: false
records[25].View: false
records[25].Create: false
records[25].Delete: false
records[25].Print: false
records[25].Edit: false
records[25].All: false
records[26].View: false
records[26].Create: false
records[26].Delete: false
records[26].Print: false
records[26].Edit: false
records[26].All: false
records[27].View: false
records[27].Create: false
records[27].Delete: false
records[27].Print: false
records[27].Edit: false
records[27].All: false
records[28].View: false
records[28].Create: false
records[28].Delete: false
records[28].Print: false
records[28].Edit: false
records[28].All: false
records[29].View: false
records[29].Create: false
records[29].Delete: false
records[29].Print: false
records[29].Edit: false
records[29].All: false
records[30].View: false
records[30].Create: false
records[30].Delete: false
records[30].Print: false
records[30].Edit: false
records[30].All: false
records[31].View: false
records[31].Create: false
records[31].Delete: false
records[31].Print: false
records[31].Edit: false
records[31].All: false
records[32].View: false
records[32].Create: false
records[32].Delete: false
records[32].Print: false
records[32].Edit: false
records[32].All: false
records[33].View: false
records[33].Create: false
records[33].Delete: false
records[33].Print: false
records[33].Edit: false
records[33].All: false
records[34].View: false
records[34].Create: false
records[34].Delete: false
records[34].Print: false
records[34].Edit: false
records[34].All: false
records[35].View: false
records[35].Create: false
records[35].Delete: false
records[35].Print: false
records[35].Edit: false
records[35].All: false
records[36].View: false
records[36].Create: false
records[36].Delete: false
records[36].Print: false
records[36].Edit: false
records[36].All: false
records[37].View: false
records[37].Create: false
records[37].Delete: false
records[37].Print: false
records[37].Edit: false
records[37].All: false
records[38].View: false
records[38].Create: false
records[38].Delete: false
records[38].Print: false
records[38].Edit: false
records[38].All: false
records[39].View: false
records[39].Create: false
records[39].Delete: false
records[39].Print: false
records[39].Edit: false
records[39].All: false
records[40].View: false
records[40].Create: false
records[40].Delete: false
records[40].Print: false
records[40].Edit: false
records[40].All: false
records[41].View: false
records[41].Create: false
records[41].Delete: false
records[41].Print: false
records[41].Edit: false
records[41].All: false
records[42].View: false
records[42].Create: false
records[42].Delete: false
records[42].Print: false
records[42].Edit: false
records[42].All: false
records[43].View: false
records[43].Create: false
records[43].Delete: false
records[43].Print: false
records[43].Edit: false
records[43].All: false
records[44].View: false
records[44].Create: false
records[44].Delete: false
records[44].Print: false
records[44].Edit: false
records[44].All: false
records[45].View: false
records[45].Create: false
records[45].Delete: false
records[45].Print: false
records[45].Edit: false
records[45].All: false
records[46].View: false
records[46].Create: false
records[46].Delete: false
records[46].Print: false
records[46].Edit: false
records[46].All: false
records[47].View: false
records[47].Create: false
records[47].Delete: false
records[47].Print: false
records[47].Edit: false
records[47].All: false
records[48].View: false
records[48].Create: false
records[48].Delete: false
records[48].Print: false
records[48].Edit: false
records[48].All: false
records[49].View: false
records[49].Create: false
records[49].Delete: false
records[49].Print: false
records[49].Edit: false
records[49].All: false
records[50].View: false
records[50].Create: false
records[50].Delete: false
records[50].Print: false
records[50].Edit: false
records[50].All: false
records[51].View: false
records[51].Create: false
records[51].Delete: false
records[51].Print: false
records[51].Edit: false
records[51].All: false
records[52].View: false
records[52].Create: false
records[52].Delete: false
records[52].Print: false
records[52].Edit: false
records[52].All: false
records[53].View: false
records[53].Create: false
records[53].Delete: false
records[53].Print: false
records[53].Edit: false
records[53].All: false
records[54].View: false
records[54].Create: false
records[54].Delete: false
records[54].Print: false
records[54].Edit: false
records[54].All: false
records[55].View: false
records[55].Create: false
records[55].Delete: false
records[55].Print: false
records[55].Edit: false
records[55].All: false
records[56].View: false
records[56].Create: false
records[56].Delete: false
records[56].Print: false
records[56].Edit: false
records[56].All: false
records[57].View: false
records[57].Create: false
records[57].Delete: false
records[57].Print: false
records[57].Edit: false
records[57].All: false
records[58].View: false
records[58].Create: false
records[58].Delete: false
records[58].Print: false
